epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
0,50.028575510787256,"tensor(0.6931, device='cuda:0')",49.93333333333334,"tensor(0.6931, device='cuda:0')"
1,49.971424489212744,"tensor(0.6931, device='cuda:0')",50.06666666666667,"tensor(0.6931, device='cuda:0')"
2,50.03571938848407,"tensor(0.6930, device='cuda:0')",50.23333333333333,"tensor(0.6930, device='cuda:0')"
3,55.70081440205744,"tensor(0.6930, device='cuda:0')",55.51666666666667,"tensor(0.6930, device='cuda:0')"
4,58.55836548078297,"tensor(0.6930, device='cuda:0')",57.75,"tensor(0.6930, device='cuda:0')"
5,50.028575510787256,"tensor(0.6930, device='cuda:0')",49.93333333333334,"tensor(0.6930, device='cuda:0')"
6,54.84354907843978,"tensor(0.6929, device='cuda:0')",54.766666666666666,"tensor(0.6929, device='cuda:0')"
7,49.971424489212744,"tensor(0.6929, device='cuda:0')",50.06666666666667,"tensor(0.6929, device='cuda:0')"
8,49.985712244606376,"tensor(0.6928, device='cuda:0')",50.06666666666667,"tensor(0.6928, device='cuda:0')"
9,57.065295042148875,"tensor(0.6927, device='cuda:0')",55.333333333333336,"tensor(0.6928, device='cuda:0')"
10,52.97185312187456,"tensor(0.6926, device='cuda:0')",52.583333333333336,"tensor(0.6927, device='cuda:0')"
11,54.26489498499786,"tensor(0.6925, device='cuda:0')",54.11666666666667,"tensor(0.6926, device='cuda:0')"
12,58.636948135447916,"tensor(0.6924, device='cuda:0')",57.53333333333334,"tensor(0.6925, device='cuda:0')"
13,55.48649807115302,"tensor(0.6922, device='cuda:0')",55.48333333333333,"tensor(0.6923, device='cuda:0')"
14,56.17945420774396,"tensor(0.6919, device='cuda:0')",56.46666666666667,"tensor(0.6920, device='cuda:0')"
15,53.41477353907701,"tensor(0.6915, device='cuda:0')",53.300000000000004,"tensor(0.6917, device='cuda:0')"
16,59.10844406343764,"tensor(0.6908, device='cuda:0')",58.599999999999994,"tensor(0.6910, device='cuda:0')"
17,61.24446349478497,"tensor(0.6895, device='cuda:0')",60.266666666666666,"tensor(0.6896, device='cuda:0')"
18,61.85169309901415,"tensor(0.6862, device='cuda:0')",61.25000000000001,"tensor(0.6863, device='cuda:0')"
19,62.4446349478497,"tensor(0.6756, device='cuda:0')",62.1,"tensor(0.6750, device='cuda:0')"
20,60.91584512073154,"tensor(0.6629, device='cuda:0')",60.71666666666666,"tensor(0.6611, device='cuda:0')"
21,62.901843120445776,"tensor(0.6516, device='cuda:0')",63.03333333333333,"tensor(0.6491, device='cuda:0')"
22,60.20860122874696,"tensor(0.6585, device='cuda:0')",60.5,"tensor(0.6561, device='cuda:0')"
23,51.49307043863409,"tensor(0.7134, device='cuda:0')",51.66666666666667,"tensor(0.7130, device='cuda:0')"
24,64.9307043863409,"tensor(0.6340, device='cuda:0')",65.10000000000001,"tensor(0.6314, device='cuda:0')"
25,62.901843120445776,"tensor(0.6407, device='cuda:0')",63.2,"tensor(0.6387, device='cuda:0')"
26,64.40920131447349,"tensor(0.6350, device='cuda:0')",65.08333333333334,"tensor(0.6319, device='cuda:0')"
27,64.15916559508501,"tensor(0.6358, device='cuda:0')",64.68333333333334,"tensor(0.6333, device='cuda:0')"
28,61.95170738676954,"tensor(0.6496, device='cuda:0')",62.3,"tensor(0.6478, device='cuda:0')"
29,67.24532076010858,"tensor(0.6109, device='cuda:0')",67.0,"tensor(0.6088, device='cuda:0')"
30,54.779254179168454,"tensor(0.7221, device='cuda:0')",55.016666666666666,"tensor(0.7213, device='cuda:0')"
31,60.80154307758251,"tensor(0.6546, device='cuda:0')",60.95,"tensor(0.6531, device='cuda:0')"
32,68.68124017716816,"tensor(0.5999, device='cuda:0')",68.30000000000001,"tensor(0.5988, device='cuda:0')"
33,68.3883411915988,"tensor(0.5993, device='cuda:0')",68.76666666666667,"tensor(0.5971, device='cuda:0')"
34,67.45249321331619,"tensor(0.6022, device='cuda:0')",67.88333333333333,"tensor(0.6012, device='cuda:0')"
