epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
318,90.2843263323332,"tensor(0.2383, device='cuda:0')",84.83333333333334,"tensor(0.3510, device='cuda:0')"
319,90.48435490784398,"tensor(0.2357, device='cuda:0')",84.98333333333333,"tensor(0.3502, device='cuda:0')"
320,90.48435490784398,"tensor(0.2359, device='cuda:0')",85.11666666666666,"tensor(0.3443, device='cuda:0')"
321,90.34862123160453,"tensor(0.2358, device='cuda:0')",85.2,"tensor(0.3447, device='cuda:0')"
322,90.3914844977854,"tensor(0.2333, device='cuda:0')",84.83333333333334,"tensor(0.3465, device='cuda:0')"
323,90.66295185026434,"tensor(0.2334, device='cuda:0')",85.01666666666667,"tensor(0.3471, device='cuda:0')"
324,90.6986712387484,"tensor(0.2296, device='cuda:0')",85.1,"tensor(0.3431, device='cuda:0')"
325,90.51293041863123,"tensor(0.2300, device='cuda:0')",85.01666666666667,"tensor(0.3423, device='cuda:0')"
326,90.6486640948707,"tensor(0.2300, device='cuda:0')",84.96666666666667,"tensor(0.3459, device='cuda:0')"
327,90.43434776396629,"tensor(0.2313, device='cuda:0')",85.35000000000001,"tensor(0.3408, device='cuda:0')"
328,90.59151307329618,"tensor(0.2322, device='cuda:0')",85.16666666666667,"tensor(0.3434, device='cuda:0')"
329,90.31290184312044,"tensor(0.2325, device='cuda:0')",84.7,"tensor(0.3497, device='cuda:0')"
330,90.67723960565796,"tensor(0.2307, device='cuda:0')",84.86666666666667,"tensor(0.3451, device='cuda:0')"
331,90.7486783826261,"tensor(0.2286, device='cuda:0')",84.96666666666667,"tensor(0.3442, device='cuda:0')"
332,90.66295185026434,"tensor(0.2292, device='cuda:0')",85.2,"tensor(0.3424, device='cuda:0')"
333,90.905843691956,"tensor(0.2284, device='cuda:0')",85.08333333333333,"tensor(0.3428, device='cuda:0')"
334,90.67009572796114,"tensor(0.2276, device='cuda:0')",85.15,"tensor(0.3410, device='cuda:0')"
335,90.66295185026434,"tensor(0.2283, device='cuda:0')",85.18333333333334,"tensor(0.3476, device='cuda:0')"
336,90.87012430347193,"tensor(0.2282, device='cuda:0')",84.95,"tensor(0.3447, device='cuda:0')"
337,90.82726103729104,"tensor(0.2283, device='cuda:0')",84.96666666666667,"tensor(0.3424, device='cuda:0')"
338,90.3843406200886,"tensor(0.2336, device='cuda:0')",84.33333333333334,"tensor(0.3533, device='cuda:0')"
339,90.76296613801972,"tensor(0.2268, device='cuda:0')",85.31666666666666,"tensor(0.3432, device='cuda:0')"
