epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
0,49.971424489212744,"tensor(0.6931, device='cuda:0')",50.06666666666667,"tensor(0.6931, device='cuda:0')"
1,50.028575510787256,"tensor(0.6930, device='cuda:0')",49.93333333333334,"tensor(0.6931, device='cuda:0')"
2,54.86498071153022,"tensor(0.6930, device='cuda:0')",55.05,"tensor(0.6930, device='cuda:0')"
3,49.971424489212744,"tensor(0.6931, device='cuda:0')",50.06666666666667,"tensor(0.6931, device='cuda:0')"
4,55.893699099871405,"tensor(0.6927, device='cuda:0')",55.900000000000006,"tensor(0.6928, device='cuda:0')"
5,50.05715102157451,"tensor(0.6926, device='cuda:0')",50.03333333333333,"tensor(0.6926, device='cuda:0')"
6,57.915416488069724,"tensor(0.6921, device='cuda:0')",57.68333333333333,"tensor(0.6922, device='cuda:0')"
7,58.1583083297614,"tensor(0.6912, device='cuda:0')",57.699999999999996,"tensor(0.6912, device='cuda:0')"
8,53.843406200885845,"tensor(0.6876, device='cuda:0')",53.63333333333333,"tensor(0.6875, device='cuda:0')"
9,63.74482068866981,"tensor(0.6628, device='cuda:0')",63.88333333333334,"tensor(0.6611, device='cuda:0')"
10,57.965423631947424,"tensor(0.6661, device='cuda:0')",58.116666666666674,"tensor(0.6645, device='cuda:0')"
11,62.280325760822976,"tensor(0.6456, device='cuda:0')",62.31666666666666,"tensor(0.6429, device='cuda:0')"
12,63.051864552078875,"tensor(0.6413, device='cuda:0')",63.26666666666667,"tensor(0.6386, device='cuda:0')"
13,66.00942991855979,"tensor(0.6200, device='cuda:0')",65.98333333333333,"tensor(0.6167, device='cuda:0')"
14,67.95256465209316,"tensor(0.6046, device='cuda:0')",68.10000000000001,"tensor(0.6018, device='cuda:0')"
15,54.65780825832262,"tensor(0.7181, device='cuda:0')",54.833333333333336,"tensor(0.7162, device='cuda:0')"
16,70.62437491070153,"tensor(0.5826, device='cuda:0')",71.16666666666667,"tensor(0.5805, device='cuda:0')"
17,58.629804257751104,"tensor(0.7174, device='cuda:0')",58.4,"tensor(0.7154, device='cuda:0')"
18,68.06686669524218,"tensor(0.5930, device='cuda:0')",67.9,"tensor(0.5948, device='cuda:0')"
19,70.83869124160594,"tensor(0.5634, device='cuda:0')",70.23333333333333,"tensor(0.5654, device='cuda:0')"
20,72.78896985283612,"tensor(0.5426, device='cuda:0')",72.35000000000001,"tensor(0.5430, device='cuda:0')"
21,68.58122588941278,"tensor(0.5913, device='cuda:0')",68.16666666666666,"tensor(0.5923, device='cuda:0')"
22,64.78782683240463,"tensor(0.6722, device='cuda:0')",64.73333333333333,"tensor(0.6746, device='cuda:0')"
