epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
0,50.028575510787256,"tensor(0.6938, device='cuda:0')",49.93333333333334,"tensor(0.6938, device='cuda:0')"
1,50.27861123017574,"tensor(0.6926, device='cuda:0')",50.4,"tensor(0.6926, device='cuda:0')"
2,63.97342477496786,"tensor(0.6902, device='cuda:0')",63.05,"tensor(0.6902, device='cuda:0')"
3,59.64423489069867,"tensor(0.6761, device='cuda:0')",59.66666666666667,"tensor(0.6759, device='cuda:0')"
4,60.84440634376339,"tensor(0.6822, device='cuda:0')",60.75000000000001,"tensor(0.6874, device='cuda:0')"
5,69.44563509072724,"tensor(0.5866, device='cuda:0')",69.5,"tensor(0.5867, device='cuda:0')"
6,73.46049435633661,"tensor(0.5345, device='cuda:0')",72.68333333333334,"tensor(0.5340, device='cuda:0')"
7,70.20288612658952,"tensor(0.5697, device='cuda:0')",70.19999999999999,"tensor(0.5744, device='cuda:0')"
8,67.33819117016718,"tensor(0.6461, device='cuda:0')",67.98333333333333,"tensor(0.6491, device='cuda:0')"
9,81.12587512501786,"tensor(0.4149, device='cuda:0')",79.51666666666667,"tensor(0.4294, device='cuda:0')"
10,83.48335476496642,"tensor(0.3747, device='cuda:0')",81.25,"tensor(0.4063, device='cuda:0')"
11,83.89769967138163,"tensor(0.3605, device='cuda:0')",81.6,"tensor(0.4052, device='cuda:0')"
12,86.45520788684098,"tensor(0.3250, device='cuda:0')",83.8,"tensor(0.3599, device='cuda:0')"
13,84.4549221317331,"tensor(0.3472, device='cuda:0')",82.19999999999999,"tensor(0.3927, device='cuda:0')"
14,89.04129161308758,"tensor(0.2563, device='cuda:0')",85.21666666666667,"tensor(0.3208, device='cuda:0')"
15,89.46992427489641,"tensor(0.2493, device='cuda:0')",85.16666666666667,"tensor(0.3313, device='cuda:0')"
16,90.56293756250892,"tensor(0.2307, device='cuda:0')",85.63333333333333,"tensor(0.3183, device='cuda:0')"
17,89.35562223174739,"tensor(0.2474, device='cuda:0')",84.35000000000001,"tensor(0.3677, device='cuda:0')"
18,93.00614373481926,"tensor(0.1722, device='cuda:0')",87.11666666666666,"tensor(0.3021, device='cuda:0')"
19,94.50635805115016,"tensor(0.1421, device='cuda:0')",88.0,"tensor(0.2888, device='cuda:0')"
20,95.10644377768253,"tensor(0.1334, device='cuda:0')",87.63333333333333,"tensor(0.2880, device='cuda:0')"
21,94.6778111158737,"tensor(0.1403, device='cuda:0')",86.86666666666667,"tensor(0.3146, device='cuda:0')"
22,92.89898556936706,"tensor(0.1781, device='cuda:0')",85.76666666666667,"tensor(0.4234, device='cuda:0')"
23,96.2280325760823,"tensor(0.0960, device='cuda:0')",87.83333333333333,"tensor(0.3450, device='cuda:0')"
24,97.09958565509359,"tensor(0.0783, device='cuda:0')",88.13333333333333,"tensor(0.3277, device='cuda:0')"
25,96.12087441063008,"tensor(0.1006, device='cuda:0')",87.11666666666666,"tensor(0.3726, device='cuda:0')"
26,97.77111015859408,"tensor(0.0594, device='cuda:0')",88.63333333333333,"tensor(0.3422, device='cuda:0')"
27,97.55679382768967,"tensor(0.0617, device='cuda:0')",88.3,"tensor(0.3790, device='cuda:0')"
28,98.68552650378626,"tensor(0.0372, device='cuda:0')",88.43333333333334,"tensor(0.3992, device='cuda:0')"
29,98.34976425203601,"tensor(0.0458, device='cuda:0')",87.23333333333333,"tensor(0.3858, device='cuda:0')"
30,99.09987141020146,"tensor(0.0255, device='cuda:0')",88.64999999999999,"tensor(0.4315, device='cuda:0')"
31,98.31404486355194,"tensor(0.0483, device='cuda:0')",87.45,"tensor(0.4463, device='cuda:0')"
32,98.77125303614802,"tensor(0.0349, device='cuda:0')",87.48333333333333,"tensor(0.4584, device='cuda:0')"
33,97.83540505786542,"tensor(0.0536, device='cuda:0')",87.33333333333333,"tensor(0.4813, device='cuda:0')"
34,99.44277753964852,"tensor(0.0148, device='cuda:0')",89.28333333333333,"tensor(0.5143, device='cuda:0')"
35,98.72838976996714,"tensor(0.0357, device='cuda:0')",87.88333333333334,"tensor(0.5715, device='cuda:0')"
36,97.22103157593942,"tensor(0.0742, device='cuda:0')",87.06666666666666,"tensor(0.4952, device='cuda:0')"
37,98.69267038148307,"tensor(0.0351, device='cuda:0')",87.61666666666666,"tensor(0.4656, device='cuda:0')"
38,99.5356479497071,"tensor(0.0132, device='cuda:0')",89.01666666666667,"tensor(0.4776, device='cuda:0')"
39,98.88555507929703,"tensor(0.0297, device='cuda:0')",87.96666666666667,"tensor(0.5544, device='cuda:0')"
