epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
0,57.97971138734105,"tensor(0.6676, device='cuda:0')",57.4,"tensor(0.6699, device='cuda:0')"
1,70.59579939991427,"tensor(0.5795, device='cuda:0')",70.13333333333334,"tensor(0.5830, device='cuda:0')"
2,71.22446063723389,"tensor(0.5786, device='cuda:0')",71.15,"tensor(0.5819, device='cuda:0')"
3,73.81768824117731,"tensor(0.5358, device='cuda:0')",72.7,"tensor(0.5559, device='cuda:0')"
4,83.39048435490784,"tensor(0.3717, device='cuda:0')",81.0,"tensor(0.4077, device='cuda:0')"
5,86.41948849835691,"tensor(0.3148, device='cuda:0')",83.76666666666667,"tensor(0.3668, device='cuda:0')"
6,89.49135590798686,"tensor(0.2605, device='cuda:0')",85.96666666666667,"tensor(0.3242, device='cuda:0')"
7,86.21231604514931,"tensor(0.3132, device='cuda:0')",82.81666666666668,"tensor(0.3750, device='cuda:0')"
8,84.4549221317331,"tensor(0.3753, device='cuda:0')",81.39999999999999,"tensor(0.4635, device='cuda:0')"
9,92.06315187883983,"tensor(0.2017, device='cuda:0')",87.26666666666667,"tensor(0.2891, device='cuda:0')"
10,93.77768252607515,"tensor(0.1782, device='cuda:0')",87.51666666666667,"tensor(0.2799, device='cuda:0')"
11,92.4632090298614,"tensor(0.1883, device='cuda:0')",86.88333333333334,"tensor(0.3370, device='cuda:0')"
12,95.47078154022003,"tensor(0.1253, device='cuda:0')",88.41666666666667,"tensor(0.2800, device='cuda:0')"
13,92.8704100585798,"tensor(0.1733, device='cuda:0')",86.41666666666666,"tensor(0.3407, device='cuda:0')"
14,93.66338048292613,"tensor(0.1592, device='cuda:0')",86.61666666666666,"tensor(0.3337, device='cuda:0')"
15,96.32804686383768,"tensor(0.0901, device='cuda:0')",88.36666666666667,"tensor(0.3419, device='cuda:0')"
16,89.677096728104,"tensor(0.2576, device='cuda:0')",83.18333333333334,"tensor(0.4983, device='cuda:0')"
17,96.8424060580083,"tensor(0.0934, device='cuda:0')",88.33333333333333,"tensor(0.3024, device='cuda:0')"
18,95.81368766966709,"tensor(0.1213, device='cuda:0')",87.61666666666666,"tensor(0.3801, device='cuda:0')"
19,96.99957136733819,"tensor(0.0805, device='cuda:0')",88.5,"tensor(0.4468, device='cuda:0')"
20,96.72096013716245,"tensor(0.0858, device='cuda:0')",88.11666666666666,"tensor(0.3498, device='cuda:0')"
21,97.27818259751393,"tensor(0.0810, device='cuda:0')",88.01666666666667,"tensor(0.3752, device='cuda:0')"
22,97.73539077011002,"tensor(0.0611, device='cuda:0')",88.98333333333333,"tensor(0.3916, device='cuda:0')"
23,97.01385912273182,"tensor(0.0789, device='cuda:0')",88.53333333333333,"tensor(0.3373, device='cuda:0')"
24,97.24246320902986,"tensor(0.0840, device='cuda:0')",87.31666666666666,"tensor(0.3544, device='cuda:0')"
25,96.92098871267324,"tensor(0.0826, device='cuda:0')",87.85,"tensor(0.4440, device='cuda:0')"
26,95.3993427632519,"tensor(0.1241, device='cuda:0')",86.35000000000001,"tensor(0.5356, device='cuda:0')"
27,93.4347763966281,"tensor(0.1653, device='cuda:0')",84.33333333333334,"tensor(0.4245, device='cuda:0')"
28,95.77796828118302,"tensor(0.1124, device='cuda:0')",87.33333333333333,"tensor(0.3635, device='cuda:0')"
29,96.45663666238033,"tensor(0.0954, device='cuda:0')",87.83333333333333,"tensor(0.3779, device='cuda:0')"
30,50.028575510787256,"tensor(nan, device='cuda:0')",49.93333333333334,"tensor(nan, device='cuda:0')"
