epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
0,55.07929704243464,"tensor(0.6876, device='cuda:0')",54.96666666666666,"tensor(0.6879, device='cuda:0')"
1,68.28832690384341,"tensor(0.6020, device='cuda:0')",68.38333333333333,"tensor(0.6012, device='cuda:0')"
2,73.70338619802828,"tensor(0.5325, device='cuda:0')",73.16666666666667,"tensor(0.5366, device='cuda:0')"
3,80.02571795970853,"tensor(0.4306, device='cuda:0')",79.10000000000001,"tensor(0.4535, device='cuda:0')"
4,79.16130875839406,"tensor(0.4375, device='cuda:0')",78.23333333333333,"tensor(0.4586, device='cuda:0')"
5,85.92656093727675,"tensor(0.3244, device='cuda:0')",83.61666666666666,"tensor(0.3617, device='cuda:0')"
6,79.76139448492641,"tensor(0.4564, device='cuda:0')",77.63333333333333,"tensor(0.5076, device='cuda:0')"
7,89.95570795827975,"tensor(0.2446, device='cuda:0')",85.68333333333334,"tensor(0.3256, device='cuda:0')"
8,89.562794684955,"tensor(0.2490, device='cuda:0')",85.51666666666667,"tensor(0.3116, device='cuda:0')"
9,91.88455493641949,"tensor(0.1950, device='cuda:0')",87.1,"tensor(0.3009, device='cuda:0')"
10,92.64180597228176,"tensor(0.1826, device='cuda:0')",86.78333333333333,"tensor(0.2974, device='cuda:0')"
11,94.28489784254893,"tensor(0.1537, device='cuda:0')",87.94999999999999,"tensor(0.2872, device='cuda:0')"
12,93.02043149021289,"tensor(0.1645, device='cuda:0')",86.66666666666667,"tensor(0.3364, device='cuda:0')"
13,96.04229175596514,"tensor(0.1054, device='cuda:0')",88.33333333333333,"tensor(0.2947, device='cuda:0')"
14,95.2493213316188,"tensor(0.1176, device='cuda:0')",87.71666666666667,"tensor(0.3545, device='cuda:0')"
15,94.69924274896414,"tensor(0.1343, device='cuda:0')",86.91666666666666,"tensor(0.4071, device='cuda:0')"
16,97.5210744392056,"tensor(0.0686, device='cuda:0')",88.83333333333333,"tensor(0.3398, device='cuda:0')"
17,97.38534076296614,"tensor(0.0695, device='cuda:0')",88.5,"tensor(0.3269, device='cuda:0')"
18,98.1425917988284,"tensor(0.0505, device='cuda:0')",88.98333333333333,"tensor(0.3571, device='cuda:0')"
19,97.95685097871124,"tensor(0.0580, device='cuda:0')",88.53333333333333,"tensor(0.3312, device='cuda:0')"
20,98.18545506500928,"tensor(0.0501, device='cuda:0')",88.78333333333333,"tensor(0.3474, device='cuda:0')"
21,98.83554793541934,"tensor(0.0329, device='cuda:0')",89.23333333333333,"tensor(0.4104, device='cuda:0')"
22,98.92841834547794,"tensor(0.0308, device='cuda:0')",89.16666666666667,"tensor(0.3550, device='cuda:0')"
23,98.964137733962,"tensor(0.0286, device='cuda:0')",89.43333333333334,"tensor(0.3767, device='cuda:0')"
24,98.67123874839262,"tensor(0.0390, device='cuda:0')",88.83333333333333,"tensor(0.4168, device='cuda:0')"
25,98.87126732390341,"tensor(0.0289, device='cuda:0')",88.93333333333334,"tensor(0.4413, device='cuda:0')"
